ËõĞ´	Ó¢ÎÄ	ÖĞÎÄ	Àà±ğ
null	Exponential horn tweeter	Ö¸ÊıĞÍ¸ßÒôºÅ½ÇÑïÉùÆ÷	null
null	Expression pedal	±í´ïÌ¤°å£¨ÓÃÓÚ¿ØÖÆÀÖÆ÷»òĞ§¹ûÆ÷µÄ½ÅÌ¤×°ÖÃ£©	null
EXT	extend	À©Õ¹	null
EXT	exterior	Íâ½ÓµÄ£¨Éè±¸£©	null
EXT	external	Íâ²¿µÄ£¬Íâ½ÓµÄ	null
EXT	extra	³¬¹ı	null
EXTN	extension	À©Õ¹£¬ÑÓÉì£¨³Ì¿Ø×°ÖÃ¹¦ÄÜµ¥Ôª£©	null
null	Extract	¹ìµÀÌá³ö	null
EXTSN	extension	À©Õ¹£¬ÑÓÉì£¨³Ì¿Ø×°ÖÃ¹¦ÄÜµ¥Ôª£©	null
F	fast	¿ì£¨ËÙ£©	null
F	feedback	·´À¡	null
F	forward	ÏòÇ°	null
F	foot	½ÅÌ¤£¨×°ÖÃ£©	null
F	frequency	ÆµÂÊ	null
F	function	¹¦ÄÜ	null
null	Ffactor	Òò×Ó£¬ÒòËØ£¬ÏµÊı£¬ÒòÊı	null
null	Fade	Ë¥¼õ£¨ÒôÁ¿¿ØÖÆµ¥Ôª£©	null
null	Fade in-out	µ­Èëµ­³ö£¬Âı×ª»»	null
null	Fader	Ë¥¼õÆ÷	null
null	Fade up	Æ½»¬ÉÏÉı	null
null	Failure	¹ÊÕÏ	null
null	Fall	Ë¥Âä£¬Ğ±¶È	null
null	Faraday shield	·¨À­µÚÆÁ±Î£¬¾²µçÆÁ±Î	null
FAS	full automatic search	È«×Ô¶¯ËÑË÷	null
null	Fast	¿ìËÙ£¨×Ô¶¯Ñİ×à×°ÖÃµÄËÙ¶Èµ÷ÕûÅ¥£©	null
null	Fastener	½ÓÏßÖù£¬±ÕËø	null
null	Fat	»ëºñ£¨ÒôÕùµ÷ÕûÅ¥£©	null
null	Fattens out	Æ½Ö±Êä³ö	null
null	Fault	¹ÊÕÏ£¬Ëğ»µ	null
null	Fader	Ë¥¼õÆ÷£¬µ÷ÒôÌ¨ÍÆÀ­µçÎ»Æ÷£¨ÍÆ×Ó£©	null
null	Fading in	½¥ÏÔ	null
null	Fading out	½¥ÏÔ	null
null	False	´íÎó	null
null	Fancier	ÒôÏì·¢ÉÕÓÑ	null
null	Far field	Ô¶³¡	null
null	FatEr	·áÂúµÄÔçÆÚ·´Éä	null
FB	feedback	·´À¡£¬Éù·´À¡	null
FB	fuse block	ÈÛË¿ºĞ	null
F.B	fiver by	ÇåÎú	null
FBO	feedback outrigger	·´À¡ÑÓÉì	null
FCC	federal communications commission	£¨ÃÀ¹ú£©Áª°îÍ¨ĞÅÎ¯Ô±»á	null
FD	fade depth	Ë¥¼õÉî¶È	null
FD	feed	À¡ÈëĞÅºÅ	null
FDR	fader	Ë¥¼õÆ÷	null
null	FeCr	Ìú¸õ´Å´ø	null
null	Feed	À¡¸ø£¬À¡Èë£¬ÊäÈë	null
null	Feeder	À¡Ïß	null
null	Ferrite head	ÌúÑõÌå´ÅÍ·	null
FET	field effect technology	³¡Ğ§Ó¦¼¼Êõ	null
FF	flip flop	´¥·¢Æ÷	null
FF	fast forward	¿ì½ø	null
FG	flag generator	±êÖ¾ĞÅºÅ·¢ÉúÆ÷	null
FI	fade in	½¥½ø	null
null	Field	Éù³¡	null
null	Field pickup	Êµ¿öÊ°Òô	null
null	File	ÎÄ¼ş£¬´æÈë£¬¹éµµ£¬Êı¾İ¼¯£¬£¨Íâ£©´æ´¢Æ÷	null
null	Fill-in	ÌîÈë	null
FILT	filter	ÂË²¨Æ÷	null
null	Final	ÔÏÄ¸	null
null	Fine	Î¢µ÷	null
null	Fingered	¶àÖ¸ºÍÏÒ	null
null	Finger	ÊÖÖ¸£¬µ¥Ö¸ºÍÏÒ	null
FIN	GND	½ÓµØÆ¬	null
null	Finish	½áÊø£¬ĞŞÊÎ	null
FIP	digital frequency display panel	Êı×ÖÆµÂÊÏÔÊ¾°å	null
FIR	finite-furation impulse response	ÓĞÏŞ³å¼¤ÏìÓ¦£¨ÂË²¨Æ÷£©	null
null	Fire	Æô¶¯	null
null	Fix	È·¶¨£¬¹Ì¶¨	null
null	Fizz	Ë»Ë»Éù	null
FL	fluorescein	Ó«¹âĞ§¹û	null
null	Flange	·¨À¼ÒôÏìĞ§¹û£¬Ïâ±ßĞ§¹û	null
null	Flanger	Ïâ±ßÆ÷	null
null	Flanging	Ïâ±ß	null
null	Flash	ÉÁ¹âĞÅºÅ	null
null	Flat	Æ½Ì¹£¬Æ½Ö±	null
null	Flat noise	°×ÔëÉù	null
null	Flat tuning	´Öµ÷	null
null	Flex	¹Õµã	null
FLEX	flexible cord	ÈíÏß£¬ÈûÉş	null
FLEX	frequency level expander	ÆµÂÊÀ©Õ¹Æ÷	null
FLEXWAVE	flexible waveguide	¿ÉÍäÇú²¨µ¼¹Ü	null
FLG	flanger	Ïâ±ßÆ÷	null
null	Flip	Ìæ»»£¬µ÷»»	null
null	Floating	·Ç¹Ì¶¨µÄ£¬Ğü¸¡Ê½µÄ	null
null	Floppy disc	Èí´ÅÅÌ	null
FLTR	filter	ÂË²¨Æ÷	null
null	Fluorescent display	Ó«¹âÏÔÊ¾Æ÷	null
null	Flute	³¤µÑ	null
null	Flutter	Ò»ÖÖ·ÅÒôÊ§Õæ£¬Âö³å¸ÉÈÅ£¬²ü¶¯	null
FLW	follow	¸ú×Ù£¬Ëæ¶¯	null
null	FLY	¾ùºâÆ÷	null
FM	fade margin	Ë¥ÂäÉè±¸	null
FM	frequency modulation	µ÷Æµ¹ã²¥	null
FO	fade out	½¥Òş	null
null	Focus	½¹µã£¬ÖĞĞÄµã	null
null	Foldback	·µËÍ£¬¼àÌı	null
null	Fomant	¹²Õñ·å	null
null	Force	¹ıÔØ£¬Ç¿ĞĞÖÃÈë	null
null	Format	¸ñÊ½£¬¸ñÊ½»¯£¬¹æ¸ñ£¬£¨´¢´æÆ÷ÖĞµÄ£©ĞÅÏ¢°²ÅÅ	null
null	Forward	×ªËÍ	null
FPR	floating point routine	¸¡µã³ÌĞò	null
FPR	full power response	È«¹¦ÂÊÏìÓ¦	null
FR	frequency	ÆµÂÊ	null
FR	frequency response	ÆµÂÊÏìÓ¦	null
null	Frame	»­Ãæ£¬£¨µçÊÓµÄ£©Ö¡	null
null	Frames	Ö¡Êı	null
null	Free	Ê£Óà£¬×ÔÓÉ	null
null	Free echoes	ÎŞÏŞ»ØÉù£¨ÑÓÊ±Ğ§¹û´¦ÀíµÄÒ»ÖÖ£©	null
null	Free edge	×ÔÓÉÕÛ»·£¨ÑïÉùÆ÷£©	null
FREEQ	frequency	ÆµÂÊ	null
null	F.Rew fast rewind	¿ìµ¹	null
null	Freeze	Äı¹Ì£¬ÉùÒôÖèÍ££¬¾²Ö¹	null
null	Frequency divider	·ÖÆµÆ÷	null
null	Frequency shifter	ÒÆÆµÆ÷£¬±äÆµÆ÷	null
null	Fricative	²ÁÒô	null
null	Front	Ç°ÃæµÄ£¬ÕıÃæµÄ	null
null	Front balance	Ç°ÖÃÆ½ºâ	null
null	Front process	Ç°Éù³¡´¦Àí	null
FRU	field replaceable unit	²å¼ş£¬¿É»»²¿¼ş	null
FS	frequency shift	ÆµÒÆ£¬±äµ÷	null
FS	full short	È«¾°	null
FT	facility terminal	Éè±¸£¨Êä³ö£©¶Ë¿Ú	null
FT	fine tuning	Î¢µ÷	null
FT	foot	½ÅÌ¤×°ÖÃ	null
FT	function tist	¹¦ÄÜ²âÊÔ	null
FT	frequency tracke	ÆµÂÊ¸ú×ÙÆ÷	null
FTG	fitting	½ÓÍ·£¬Åä¼ş	null
FTS	faverate track selection	×î¼ÑÉù¼£Ñ¡Ôñ	null
null	Full	·áÂú£¬±¥ºÍ	null
null	Full auto	È«×Ô¶¯	null
null	Full effect recording	È«Ğ§¹ûÂ¼Òô	null
null	Full range	È«ÒôÓò£¬È«Æµ	null
G	gate	ÃÅ£¨µçÂ·£©	null
G	ground	½ÓµØ	null
GA	general average	×ÜÆ½¾ùÖµ	null
null	Gain	ÔöÒæ£¬ÌáË¥Á¿	null
null	Game	¿¨À­OKÒôÏìĞ§¹û	null
null	Gamut	ÒôÓò	null
null	Gap	¼ä¸ô£¬Í¨µÀ	null
null	Gate	ÔëÉùÃÅ£¬ÃÅ£¬Ñ¡Í¨	null
null	Gated Rev	Ñ¡Í¨»ìÏì£¨¿ªÃÅµÄÊ±¼äÄÚÓĞ»ìÏìĞ§¹û£©	null
null	GB	¼ª×Ö½Ú	null
null	Gear	·ç¸ñ£¬¸ñµ÷	null
GEN	generator	£¨ĞÅºÅ£©·¢ÉúÆ÷	null
null	General	×ÛºÏĞ§¹û	null
null	Generator	ĞÅºÅ·¢ÉúÆ÷	null
GEQ	graphie equalizier	Í¼Ê¾¾ùºâÆ÷	null
GD	ground	½ÓµØ	null
null	Girth	¼¤ÀøÆ÷µÄµÍÒôÇ¿¶Èµ÷½Ú	null
null	Glide strip	»¬×àÌõ£¨Ñİ×à×°ÖÃ£©	null
null	GLLS-sando	»¬½µ£¨Ñİ×àµÄĞ§¹û£©	null
null	Global	×ÜÌåÉè¼Æ	null
GM	genertal MIDI	Í¨ÓÃÀÖÆ÷Êı×Ö½ÓÆ÷	null
GND	ground	µØÏß£¬½ÓµØ¶Ë GP group ±à×é	null
GPR	general purpose receiver	Í¨ÓÃ½ÓÊÕ»ú	null
GPI	general purpose interface	Í¨ÓÃ½Ó¿ÚÉè±¸	null
null	Govern	µ÷Õû£¬¿ØÖÆ£¬²Ù×÷£¬ÔË×ª	null
GR	group	×éºÏ	null
null	Gramophone	ÁôÉù»ú£¬³ª»ú	null
null	Graphic equalizer	Í¼Ê¾¾ùºâÆ÷£¬Í¼±í¾ùºâÆ÷	null
GRND	ground	½ÓµØ	null
null	Groove	¹âÅÌÂİĞıµÀµÄ²Û	null
null	Group	±à×é£¨µ÷ÒôÌ¨£©£¬×é	null
null	Growler	ÏßÈ¦¶ÌÂ·²âÊÔÒÇ	null
GT	gate	ÃÅ£¬ÔëÉùÃÅ	null
GT	gauge template	Ñù°å	null
GTE	gate	ÃÅ£¨µçÂ·£©	null
GTR	gate reverb	ÃÅ»ìÏì	null
null	Guard	±£»¤£¬·À»¤×°ÖÃ	null
GUI	graphical user interface	Í¼ĞÎÓÃ»§½Ó¿Ú	null
null	Guitar	¼ªËü	null
null	Guy	À­Ïß	null
null	Gymnasium	ÌåÓı¹İĞ§¹û	null
null	Gyrator	»ØĞıÆ÷	null
HQAD	high quality audio disc	¸ßÆ·Î»ÒôÆµ¹âÅÌ	null
HR	handing room	²Ù×÷ÊÒ	null
HR	high resistance	¸ß×è¿¹£¨ĞÅºÅ¶Ë×ÓµÄ×è¿¹ÌØĞÔ£©	null
HRTF	head-related transfer function	ÈËÄÔÏà¹Ø×ª»»¹¦ÄÜ	null
HS	head set	Í·´÷Ê½¶ú»ú	null
HS	hybrid system	»ìºÏÏµÍ³	null
HT	home theater	¼ÒÍ¥Ó°Ôº£¬¼ÒÍ¥¾ç³¡	null
null	Hubrid	»ìºÏÍøÂç£¬ÇÅ½Ó²íÂ·	null
null	Hum	½»Á÷ºßÉù£¬½»Á÷µÍÆµ£¨50Hz£©ÔëÉù	null
null	Hum and Noise	ºßÔÓÉù£¬½»Á÷ÔëÉù	null
null	Humidity	Êª¶È£¬ÊªÆø	null
HUT	homes using TV	¼ÒÓÃµçÊÓ	null
HVDS	Hi-visual dramatic sound	¸ß±£ÕæÏÖ³¡¸ĞÒôÏìÏµÍ³	null
HX	headroom extension	¶¯Ì¬ÓàÁ¿À©Õ¹£¨ÏµÍ³£©£¨Ò»ÖÖ¶Å±È½µÔëÏµÍ³£©£¬¾»¿ÕÑÓÉì	null
H	horizonal	Ë®Æ½£¨×´Ì¬£©	null
H	hot	ÈÈ£¨Æ½ºâĞÅºÅ¶Ë¿ÚµÄ¡°ÈÈ¶Ë¡±£©	null
null	Hall	ÌüÌÃĞ§¹û	null
null	Handle	ÊÖ±ú£¬¿ØÖÆ	null
HAR	harmonec	Ğ³²¨	null
null	Hard knee	Ó²¹Õµã£¨Ñ¹ÏŞÆ÷£©	null
null	Harmonic	Ğ³²¨	null
null	Harmonic distortion	Ğ³²¨Ê§Õæ	null
null	Harmonic Generator	Ğ³²¨·¢ÉúÆ÷	null
null	Harmonize	£¨Ê¹£©ºÍĞ³£¬Ğ£Òô	null
null	Harmony	ºÍĞ³	null
null	Harp	ÊúÇÙ	null
null	Hash	ÔÓÂÒÂö³å¸ÉÈÅ	null
null	Hass effect	¹şË¹Ğ§Ó¦	null
HD	harmonic distortion	Ğ³²¨Ê§Õæ	null
HDCD	high definition compatible	digital	null
HDTV	hight definiton television	¸ßÇåÎú¶ÈµçÊÓ	null
null	Head	Â¼Òô»ú´ÅÍ·£¬Ç°ÖÃµÄ£¬³ªÍ·	null
null	Head azimuth	´ÅÍ··½Î»½Ç	null
null	Head gap	´ÅÍ··ìÏ¶	null
null	Headroom	¶¯Ì¬ÓàÁ¿£¬¶¯Ì¬·¶Î§ÉÏÏŞ£¬µçÆ½´¢±¸	null
null	Headphone	Í·´÷Ê½¶ú»ú	null
null	Headset	Í·´øÊ½¶ú»ú	null
null	Heavy metel	ÖØ½ğÊô	null
null	HeiFin	´¹Ö±Î¢µ÷	null
null	Hearing	Ìıµ½£¬Ìı¾õ	null
null	Heat sink	É¢ÈÈ°å	null
null	Help	£¨¶Ô³ÌĞòµÄ£©½âÊÍ	null
HF	high frequency	¸ßÆµ£¬¸ßÒô	null
null	Hi hign	¸ßÆµ£¬¸ßÒô	null
HI	band	¸ßÆµ´ø	null
null	Hi-end	×î¸ßÆ·ÖÊ£¬¶¥¼¶	null
null	Hi-BLEND	¸ßÆµ»ìºÏÖ¸Ê¾	null
null	High cut	¸ßÇĞ	null
null	High pass	¸ßÍ¨	null
null	Highway	×ÜÏß£¬ĞÅÏ¢Í¨µÀ	null
null	Hi-Fi high fidelity	¸ß±£Õæ£¬¸ß±£ÕæÒôÏì	null
null	Hiss	ßĞÉù	null
null	Hi-Z	¸ß×è¿¹	null
HL	half reverb	´óÌü»ìÏì	null
null	Hoghorn	Å×ÎïÃæÀ®°È	null
null	Hoisting	ÌáÉı	null
null	Hold	±£³Ö£¬ÎŞÏŞÑÓĞø£¬±£³ÖÊ±¼ä	null
null	Holder	Ö§¼Ü£¬¹Ì¶¨¼Ü	null
null	Hold-off	½â³ı±£³Ö	null
null	Home	¼ÒÍ¥£¬ÊµÓÃ	null
null	Home theatre	¼ÒÍ¥Ó°Ôº	null
null	Horizontal	Ë®Æ½µÄ£¬ºáÏòµÄ	null
null	Horn	¸ßÒôºÅ½Ç£¬ºÅÍ²£¬Ô²ºÅ	null
null	Hornloaded	ºÅ½Ç´¦Àí	null
null	Hot	ÈÈ¶Ë£¬¸ßµçÎ»¶Ë	null
null	Hour	Ğ¡Ê±	null
null	Howling	Ğ¥½ĞÉù	null
null	Howlround	Ğ¥½Ğ	null
H.P	headphone	Í·´÷Ê½¶ú»ú	null
HPA	haas pan allochthonous	¹şË¹ÉùÏñÆ¯ÒÆ	null
HPF	high pass filter	¸ßÍ¨ÂË²¨Æ÷	null
HQ	high quality	¸ßÖÊÁ¿£¬¸ßÆ·Î»	null
null	Hyper Condenser	³¬ĞÄĞÍµÄ	null
HZ	hertz	ºÕ×È	null
H	hard	Ó²µÄ£¨ÒôÏìĞ§¹ûÌØÕ÷£©	null
IC	integrated circuit	¼¯³ÉµçÂ·	null
ID	identification	Ê¶±ğ	null
ID	identify	±êÖ¾	null
null	Idle	¿ÕÔØµÄ£¬ÎŞĞ§¹ûµÄ	null
IDTV	improved definition television	¸Ä½øÇåÎú¶ÈµçÊÓÏµÍ³	null
IEC	international electrical commission	¹ú¼Êµç¹¤Î¯Ô±»á	null
IEEE	institute of electrical&electronic engineers	µçÆø¼°µç×Ó¹¤³ÌÊ¦Ñ§»á	null
IF	intermidiate frequency	ÖĞÆµµÄ	null
IHF	the institute of high fidelity	¸ß±£ÕæÑ§»á	null
IIR	infinite-duration impulse response	ÎŞÏŞ³å¼¤ÏìÓ¦	null
IKA	Interactive knee adapt	»¥µ÷¹ÕµãÊÊÅä£¬Èí¹Õµã	null
IM	impulse modulation	Âö³åµ÷¼Á	null
IM	image	Ó°Ïó	null
IMD	intermodulation distortion	»¥µ÷Ê§Õæ	null
IMP	impedance	×è¿¹	null
IMP	impedence	×è¿¹	null
IMP	interface message processor	½Ó¿ÚĞÅÏ¢´¦Àí»ú	null
null	Improper	´íÎóµÄ	null
IN	inductor	¸ĞÓ¦Æ÷	null
IN	input	ÊäÈë	null
IN	inverter	·´ÑİÆ÷£¬µ¹ÏàÆ÷	null
null	Inactive	ÔİÍ££¬Ê§Ğ§µÄ	null
INC	incoming	ÒıÈëÏß	null
INC	increase	Ôö¸ß	null
INCOM	intercom	ÄÚ²¿Í¨»°£¨ÏµÍ³£©	null
null	In phase	Í¬Ïà	null
IND	index	Ë÷Òı£¬±êÖ¾£¬Ö¸Êı	null
IND	indicator	Ö¸Ê¾Æ÷	null
null	Indicator	ÏÔÊ¾Æ÷£¬Ö¸Ê¾Æ÷	null
null	Indirect	¼ä½Ó	null
null	Inductance	µç¸Ğ	null
null	Induction	¸ĞÓ¦£¬ÒıÈë	null
INF	infinite	ÎŞÏŞ´ó	null
null	Infrared	ºìÍâÏßµÄ	null
null	Infra-red remote control	ºìÍâÏßÒ£¿Ø	null
INH	inhibit	ÒÖÖÆ£¬½ûÖ¹	null
null	Initial	ÉùÄ¸£¬³õÊ¼»¯	null
null	Infinite	ÎŞÏŞµÄ£¬·ÇÏŞ¶¨µÄ	null
null	Increase	Ôö¼Ó	null
null	Initial Delay	ÔçÆÚÑÓÊ±£¬³õ´ÎÑÓÊ±	null
null	Inject	×¢Èë£¬ÖÃÈë Inlead ÒıÈëÏß	null
null	Inlet	ÒıÈëÏß£¬²åÈë In-line ´®ÁªµÄ£¬ÔÚÏßµÄ	null
INP	input	ÊäÈë£¨¶Ë¿Ú£©	null
INV	invertor	µ¹ÏàÆ÷£¬·­×ªÆ÷£¬·´ÏàÆ÷£¬±ä»»Æ÷	null
null	Inverse	µ¹Ïà	null
null	Inverseve Rev	µßµ¹Ê½»ìÏìĞ§¹û	null
null	Invert	ÂÖÁ÷£¬·´×ª	null
I/O	in/out	ÊäÈë/Êä³ö£¨½Ó¿Ú£©£¬ĞÅºÅ²åÈë½Ó¿ÚI/O	null
null	instead of	Ìæ´ú	null
IPE	integrated parameter editing	×ÛºÏ²ÎÁ¿±à¼­	null
IR	infrared sensor	ºìÍâÏß´«¸ĞÆ÷	null
IROA	impulse response optimum algorithm	Âö³åÏìÓ¦×î¼ÑËã·¨	null
IS	information separators	ĞÅÏ¢·Ö¸ô×Ö·û	null
IS	in service	²»ÖĞ¶Ï·şÎñ	null
ISO	International Standardization Organization	¹ú¼Ê±ê×¼»¯×éÖ¯	null
J	jack	²å¿×£¬²å×ù£¬´«¶¯×°ÖÃ	null
null	Jack socket	²å¿×	null
null	Jaff	¸´¸ÉÈÅ	null
null	Jagg club	¾ôÊ¿ÀÖ¾ãÀÖ²¿Ğ§¹û	null
null	Jam	ÒÖÖÆ£¬¸ÉÈÅ	null
null	Jamproof	¿¹¸ÉÈÅµÄ	null
null	Jazz	¾ôÊ¿	null
JB	junction box	½ÓÏßºĞ	null
null	JIS	ÈÕ±¾¹¤Òµ±ê×¼	null
null	Job	ÊÂ¼ş£¬×÷ÒµÖ¸Áî£¬³ÉÆ·	null
null	Jog	ĞıÅÌ»º½ø£¬Âı½ø£¬Í»È»×ªÏò	null
null	Joker	°µ²ØµÄ²»ÀûÒòËØ£¬º¬»ì²»Çå	null
null	Joystick	¿ØÖÆÊÖ±ú£¬²Ù×İ¸Ë£¬Ò¡¸Ë	null
JSS	jet servo system	ÅçÉäËÅ·şÊ½ÖØµÍÒôÑïÉùÆ÷ÏµÍ³	null
null	Jumper	ÌøÏß£¬ÌõĞÎ½ÓÆ¬	null
null	Justify	µ÷Õû	null
null	Input	ÊäÈë	null
null	Indicator	ÏÔÊ¾Æ÷£¬Ö¸Ê¾µÆ	null
INS	insert	²åÈë£¨ĞÅºÅ£©£¬²åÈë½Ó¿Ú	null
INSEL	input select	ÊäÈëÑ¡Ôñ	null
INST	instant	Ö±½ÓµÄ£¬ÊµÊ±	null
INST	institution	½¨Á¢£¬ÉèÖÃ	null
INST	instrument	ÒÇÆ÷£¬ÀÖÆ÷	null
null	Instrument	ÀÖÆ÷	null
null	Insulator	¾øÔµÌå	null
INT	intake	½øÈë£¬Èë¿Ú	null
INT	intensity	Ç¿¶È£¬ÁÒ¶È	null
INT	interior	ÄÚ²¿	null
INT	interrupter	¶ÏÂ·Æ÷	null
null	Integrated	×éºÏµÄ	null
null	Integrated amplifier	Ç°ÖÃ-¹¦ÂÊ·Å´óÆ÷£¬×ÛºÏ¹¦ÂÊ·Å´óÆ÷	null
null	Intelligate	ÖÇÄÜ»¯ÔëÉùÃÅ	null
null	Intelligibility	¿É¶®¶È	null
null	Interactie	Ïà»¥×÷ÓÃ£¬ÈË»ú¶Ô»°£¬Èí¹Õµã	null
null	Interval	Òô¸ß²î±ğ	null
null	Integrated	¼¯³ÉµÄ£¬ÍêÈ«µÄ	null
null	Intercom	¶Ô½²£¬Í¨»°	null
null	Interconnect	»¥ÏàÁªÏµ	null
null	Inter cut	²å²¥	null
null	Interface	½Ó¿Ú£¬¶Ô»°×°ÖÃ	null
null	Interference	¸ÉÈÅ£¬¸ÉÉæ£¬´®ÈÅ	null
null	Interim	ÁÙÊ±µÄ£¬¹ı¶ÉÌØÕ÷	null
null	Intermodulation	»¥µ÷£¬ÄÚµ÷ÖÆ	null
null	Intermodulation distortion	½»Ô½Ê§Õæ	null
null	Internal	ÄÚ´æ£¬¶Ô½²»ú	null
null	Internally	ÔÚÄÚ²¿£¬ÄÚ´æ	null
null	Inter parameter	ÄÚ²¿²ÎÊı	null
null	Interval	Òô¸ß²î±ğ	null
null	Interplay	Ïà»¥×÷ÓÃ£¬ÄÚ²¿²¥·Å	null
null	Interval shifter	ÒôĞªÒÆÏàÆ÷	null
null	Intimacy	Ç×ÇĞ¸Ğ	null
null	Intonation	Éùµ÷	null
INTRO	introduction	½éÉÜ£¬ä¯ÀÀ£¬ÒıÈë£¬£¨ÀÖÇúµÄ£©Ç°×à	null
INTRO	sacn	ÇúÍ·¼ìË÷£¨½ÚÄ¿ËÑË÷£©	null
INTRO	sensor	ÇúÍ·¶Á³öÆ÷£¨½ÚÄ¿²éÑ¯£©	null
null	Introskip	ÄÚÒÆ£¬ÄÚÌø	null
ISS	insertion test signal	²åÈëÇĞ»»ĞÅºÅ	null
ISS	interference suppression switch	¸ÉÈÅÒÖÖÆ¿ª¹Ø	null
ITS	insertion test signal	²åÈë²âÊÔĞÅºÅ	null
IV	interval	¼ä¸ôËÑË÷	null
IV	inverter	µ¹ÏàÆ÷	null
IWC	interrupted wave	¶ÏĞø²¨	null
IX	index	±êÅÌ£¬Ö¸Õë£¬Ë÷Òı	null
K	key	°´¼ü	null
null	Karaoke	¿¨À­OK£¬ÎŞÈË°é×àÀÖ¶Ó	null
KB	key board	¼üÅÌ£¬°´Å¥	null
null	Kerr	¿Ë¶úĞ§Ó¦£¬£¨¿É¶ÁĞ´¹âÅÌ£©´Å¹âĞ§Ó¦	null
null	Key	¼ü£¬°´¼ü£¬Éùµ÷	null
null	Keyboard	¼üÅÌ£¬°´Å¥	null
null	Key control	¼ü¿Ø£¬±äµ÷¿ØÖÆ	null
null	Keyed	¼ü¿Ø	null
null	Key EQ	Òôµ÷¾ùºâ	null
null	kHz Kiloherts	Ç§ºÕ×È	null
null	Kikll	Çå³ı£¬ÏûÈ¥£¬ÒÖÖÆ£¬Ë¥¼õ£¬¶Ï¿ª	null
null	Killer	ÒÖÖÆÆ÷£¬¶ÏÂ·Æ÷	null
null	Kit	Éè¶¨	null
null	Knee	Ñ¹ÏŞÆ÷¹Õµã	null
null	Knob	°´Å¥£¬ĞıÅ¥£¬µ÷½ÚÆ÷	null
KP	key pulse	¼ü¿ØÂö³å	null
KTV	karaoke TV	°è³ªµçÊÓ£¨½ÚÄ¿£©	null
KX	key	¼ü¿Ø	null
null	Lesion	¹ÊÕÏ£¬Ëğº¦	null
null	Leslie	ÁĞË¹Àû	null
LEV	level	µçÆ½	null
LEVCON	level control	µçÆ½¿ØÖÆ	null
null	Level	µçÆ½£¬Ë®Æ½£¬¼¶	null
LF	low frequency	µÍÆµ£¬µÍÒô	null
LFB	local feedback	±¾»ú·´À¡£¬¾Ö²¿·´À¡	null
LFE	lowfrequency response	µÍÆµÏìÓ¦	null
LFO	low frequency oscillation	µÍÆµÕñµ´ĞÅºÅ	null
LGD	long delay	³¤ÑÓÊ±	null
LH	low high	µÍÔëÉù¸ßÊä³ö	null
LH	low noise high output	µÍÔëÉù¸ßÊä³ö´Å´ø	null
null	L.hall large hall	´óÌüĞ§¹û	null
null	Lift	ÌáÉı£¨Ò»ÖÖÌáÉıµØµçÎ»µÄ×°ÖÃ£©	null
null	Lift up	ÉıÆğ	null
null	Labial	´½Òô	null
L	left	×ó£¨Á¢ÌåÉùÏµÍ³µÄ×óÉùµÀ£©	null
L	line	ÏßÂ·	null
L	link	Á´Â·	null
L	long	³¤£¨Ê±¼ä£©	null
LA	laser	¼¤¹â£¨ÀØÉä£©	null
null	Lag	ÑÓ³Ù£¬ÖÍºó	null
null	Lamp	µÆ£¬ÕÕÃ÷µÆ	null
null	Land	¹âÅÌÂİĞıµÀµÄ¼ç£¬½ÓµØ£¬ÕæµØ	null
null	Lap dissolve	Âı×ª»»	null
null	Lapping SW	Í¨¶Ï¿ª¹Ø	null
null	Large	´ó£¬´óĞÍ	null
null	Large hall	´óÌü»ìÏì	null
null	Larigot	Áù±¶Òô	null
null	Laser	¼¤¹â£¨ÀØÉä£©	null
null	Latency	¿Õ×ª£¬´ı»ú	null
null	Launching	¼¤Àø£¬·¢Éä	null
null	Layer	²ãµş¿ØÖÆ£¬¶àÒôÉ«Í¬²½¿ØÖÆ	null
LCD	liquid crystal display	Òº¾§ÏÔÊ¾	null
LCR	left center right	×óÖĞÓÒ	null
LD	laser vision disc	¼¤¹âÊÓÅÌ£¬Ó°µú»ú	null
LD	load	¸ºÔØ	null
LDP	input	Ó°µúÊäÈë	null
LDTV	low definition television	µÍ·Ö±æÂÊÊı×ÖµçÊÓ	null
LCD	projictor	Òº¾§Í¶Ó°»ú	null
null	Lead	Í¨µÀ£¬Ç°ÖÃ£¬ÊäÈë	null
null	Lead-in	ÒıÈëÏß	null
null	Leak	Â©Ğ¹	null
null	Learn	Ñ§Ï°	null
LED	light emitting deivce	·¢¹â·øÉäÆ÷£¬·¢¹âÆ÷¼ş	null
M	main	Ö÷ĞÅµÀ	null
M	master	Ö÷¿Ø	null
M	memory	´æ´¢Æ÷	null
M	mix	»ìÆµ	null
M	moderate	ÊÊÖĞµÄ	null
M	music	ÒôÀÖ	null
null	Mac manchester auto code	ÂüÇĞË¹ÌØ×Ô¶¯Âë	null
MADI	musical audio digital interface	ÒôÆµÊı×Ö½Ó¿Ú	null
null	Main	Ö÷ÒªµÄ£¬Ö÷Ïß£¬Ö÷Í¨µÀ£¬µçÔ´	null
MAG	magnet	´ÅÌú	null
null	Magnetic tape	´Å´ø	null
null	Magnetic type recorder	´Å´øÂ¼Òô»ú	null
null	Main	µçÔ´£¬Ö÷ÒªµÄ	null
null	Major chord	´óÈıºÍÏÒ	null
null	Make	½ÓÍ¨£¬±ÕºÏ	null
null	Makeup	½ÓÍ¨£¬Ñ¡Åä	null
